iso3,country,gdp_usd,ag_land_usd,urban_land_usd,urban_pred_free,total_land_usd,total_free_usd,ag_source,reported_land_usd,reported_urban_land_usd
TUN,Tunisia,42491780918.361,92339870039.6932,81763211469.56625,37883836871.51199,174103081509.25946,130223706911.2052,cwon,,
PNG,Papua New Guinea,23848447849.6081,127686985236.3149,45889478920.51879,18247319774.709904,173576464156.83368,145934305011.0248,cwon,,
BGR,Bulgaria,70490478088.1395,36234705881.4442,135638651568.51814,71858362984.37332,171873357449.96234,108093068865.81752,cwon,,
CRI,Costa Rica,62806591554.7345,43041981605.0737,120853221869.86624,62098577868.7065,163895203474.93994,105140559473.7802,cwon,,
OMN,Oman,75909492847.8544,16188812776.818459,146065986930.3037,78914836845.7932,162254799707.12216,95103649622.61166,cwon,,
SRB,Serbia,55874017668.998,51333261222.32179,107513477279.33215,53559743859.24839,158846738501.65393,104893005081.57019,cwon,,
MLI,Mali,20698560938.7775,112294974695.42041,39828427488.236404,15254289220.703804,152123402183.6568,127549263916.1242,cwon,,
MMR,Myanmar,79006113643.1906,,152024543042.99243,83008100521.2257,152024543042.99243,83008100521.2257,missing,,
MWI,Malawi,11769313597.8545,119775755902.50061,22646659089.245274,7469477896.432923,142422414991.74588,127245233798.93353,cwon,,
LUX,Luxembourg,73670782100.3909,650492347.888677,141758231964.33206,75982914238.84068,142408724312.22073,76633406586.72935,cwon,,
BLR,Belarus,61371673344.7424,18993749029.06906,118092134466.3863,60309686836.095,137085883495.45537,79303435865.16406,cwon,,
LTU,Lithuania,57412038533.2718,26482709333.2725,110472956087.99475,55431128560.81759,136955665421.26724,81913837894.09009,cwon,,
NER,Niger,13648332189.7307,109378229172.3893,26262289951.55243,9008435420.072914,135640519123.94173,118386664592.46222,cwon,,
UZB,Uzbekistan,70127127133.2164,,134939487157.826,71390218904.14774,134939487157.826,71390218904.14774,missing,,
HRV,Croatia,57959824238.1808,16774389702.86573,111527012130.4217,56100876706.06233,128301401833.28745,72875266408.92807,cwon,,
BEN,Benin,15686741883.934,95951908937.7128,30184623148.38816,10742546574.090475,126136532086.10095,106694455511.80327,cwon,,
BFA,Burkina Faso,17725010532.5268,89251331292.798,34106684943.512096,12537378683.008368,123358016236.3101,101788709975.80637,cwon,,
PAN,Panama,57059846500.0,9155624348.83643,109795263812.64333,55001413951.8145,118950888161.47975,64157038300.650925,cwon,,
SEN,Senegal,24530513037.7518,69057327289.89731,47201917208.79315,18909837888.148193,116259244498.69046,87967165178.0455,cwon,,
URY,Uruguay,53559354501.4278,10327965191.23527,103059573725.26671,50769085349.91772,113387538916.50198,61097050541.152985,cwon,,
AZE,Azerbaijan,42693000000.0,30571466335.9422,82150399720.28635,38110872073.04857,112721866056.22855,68682338408.99077,cwon,,
SVN,Slovenia,53384760135.1581,6150922349.32855,102723617081.83649,50559862163.13851,108874539431.16504,56710784512.467064,cwon,,
JOR,Jordan,47931770985.9155,14183364532.419529,92230907778.6565,44118791059.05321,106414272311.07602,58302155591.47273,cwon,,
MOZ,Mozambique,14235420174.1884,70247660261.6265,27391971927.384003,9501287494.692677,97639632189.0105,79748947756.31917,cwon,,
BOL,Bolivia,42313784081.042,12662928414.43135,81420707749.17409,37683240370.986374,94083636163.60544,50346168785.417725,cwon,,
PRY,Paraguay,35432178068.1814,22873791020.8622,68179036171.303604,30106243588.485344,91052827192.1658,52980034609.34755,cwon,,
LBY,Libya,46854285440.642,,90157596738.50826,42868205829.29769,90157596738.50826,42868205829.29769,missing,,
COD,"Congo, Dem. Rep.",46691989748.9186,,89845305357.06499,42680491766.933205,89845305357.06499,42680491766.933205,missing,,
ZWE,Zimbabwe,31979753644.6558,27168047638.0188,61535838307.56232,26445186664.697067,88703885945.58112,53613234302.715866,cwon,,
LBN,Lebanon,31712128253.7961,27081561015.982903,61020870213.62602,26165597938.54431,88102431229.60892,53247158954.527214,cwon,,
GIN,Guinea,14088693742.9464,57728891867.3815,27109639109.918343,9377599017.001308,84838530977.29984,67106490884.38281,cwon,,
VEN,"Venezuela, RB",42837965906.8675,,82429344914.93134,38274612630.7957,82429344914.93134,38274612630.7957,missing,,
