iso3,name,value,value_share,area_share,error,area_km2,density
CRI,Costa Rica,163895203474.93994,0.000824246233672271,0.0007531527118335718,-0.08625277124040431,53833.6211703617,3044476.6655447106
OMN,Oman,162254799707.12216,0.0008159964704171045,0.0010256573605673443,0.2569384767596723,309226.5627963833,524711.7137668482
SRB,Serbia,158846738501.65393,0.0007988569718035207,0.0007985791423892599,-0.00034778367601095983,76377.00365750062,2079771.8016534725
MLI,Mali,152123402183.6568,0.0007650446056065534,0.0007999619359273752,0.045640907817575016,1234497.9154351556,123226.94131891985
MMR,Myanmar,152024543042.99243,0.0007645474325799545,0.0014879976371317298,0.9462463330895021,679621.608707884,223689.97850440018
MWI,Malawi,142422414991.74588,0.0007162573196683281,0.0006457397880817965,-0.09845279014975461,111176.58416138684,1281046.8685114644
LUX,Luxembourg,142408724312.22073,0.0007161884677995988,0.0004900214783459505,-0.31579255967150466,2416.182039062019,58939567.47046465
BLR,Belarus,137085883495.45535,0.0006894193409268484,0.0007452614027143483,0.0809986875512172,208942.88883096946,656092.6014876488
LTU,Lithuania,136955665421.26724,0.0006887644605219926,0.0006358938360778565,-0.07676154545498359,63817.89878643012,2146038.462964699
NER,Niger,135640519123.94173,0.0006821504513300498,0.000803249579689295,0.17752554165012624,1181646.6511528287,114789.40763857724
UZB,Uzbekistan,134939487157.826,0.0006786248877656279,0.0006601019872691867,-0.02729475566012296,461685.6861894587,292275.6567818995
HRV,Croatia,128301401833.28745,0.0006452412577902536,0.0006528481029089199,0.011789148673966299,57545.075009496184,2229580.9295950164
BEN,Benin,126136532086.10097,0.0006343538999074323,0.0006603844227841071,0.04103470141899224,116998.03232565636,1078108.1491610748
BFA,Burkina Faso,123358016236.3101,0.000620380451168043,0.0006379472591961696,0.02831618564874505,271591.0920084614,454204.942157922
PAN,Panama,118950888161.47977,0.0005982165400835698,0.0006011671851372828,0.0049324029945758685,75263.50832089945,1580458.9875655458
SEN,Senegal,116259244498.69046,0.0005846799807187855,0.0005800742515750137,-0.007877350509093328,194405.05920386416,598025.8177168858
URY,Uruguay,113387538916.50198,0.0005702378710038639,0.000581839928621773,0.020345996307618908,176854.79716600757,641133.5215864626
AZE,Azerbaijan,112721866056.22856,0.0005668901321054396,0.0005458978717384422,-0.037030562322599825,91122.31664180147,1237039.0724297992
SVN,Slovenia,108874539431.16504,0.0005475415214494814,0.0005729174474003962,0.0463452084578686,19116.951924938374,5695182.990397985
JOR,Jordan,106414272311.07602,0.000535168579077979,0.0008188706902960325,0.5301172795062685,89145.33798809591,1193716.628516077
