tile_x,tile_y,cells_per_side,value_usd,drawn_area
2344,2048,8,2298974285.0202484,217884232.64453125
2352,2048,8,303591054.76059484,301564994.5703125
2360,2048,8,539551097.4609227,512226694.484375
2368,2048,8,1268239755.03869,2714322665.765625
3296,2048,8,26447651.7303225,306479343.4746094
3304,2048,8,36024050.96917724,22546889.21484375
3312,2048,8,186320386.9121853,122932044.48046875
3320,2048,8,35450606.22332992,15040241.7265625
3328,2048,8,36174549.38905614,57053161.67578125
3336,2048,8,89045952.53981237,26689393.86328125
3344,2048,8,35713628.78809248,1544633.6875
3352,2048,8,141118056.19836867,20848199.244140625
3360,2048,8,429816959.4522368,59257740.4375
3368,2048,8,431177127.46158653,221142823.73828125
3376,2048,8,431517757.8267123,321072653.0703125
3384,2048,8,432220093.9951108,185097423.45703125
3392,2048,8,609487837.2148933,317033685.1796875
3400,2048,8,515766451.51190495,603838893.8222656
3408,2048,8,610858421.3351687,324684271.56640625
3416,2048,8,559941136.0176153,508841717.94921875
3424,2048,8,1462010208.4609842,965620282.6015625
3432,2048,8,786284034.8409456,421817605.2167969
3440,2048,8,641051277.1720028,1131834045.3671875
3448,2048,8,3151140033.7393665,1733181165.5703125
3456,2048,8,2241038001.3594403,871540817.1484375
3464,2048,8,699355133.4808888,922060300.515625
3472,2048,8,1431255196.872929,488722096.6933594
3480,2048,8,722397923.403838,559786137.3359375
3488,2048,8,484286831.9264093,381721393.8730469
3496,2048,8,2602531049.810551,2432576147.8164062
3504,2048,8,3105193049.0323963,1706725006.375
3512,2048,8,1863891966.0766854,1776778738.3574219
3520,2048,8,2986890511.401712,2865157714.4746094
3528,2048,8,2113700271.1461983,322637493.1328125
3536,2048,8,374570366.2839737,2246448676.0253906
4704,2048,8,130798947.02014147,573348168.8125
4712,2048,8,197061248.88118488,50346067.171875
4720,2048,8,177138324.1128424,112823130.234375
4728,2048,8,174039678.79946432,135079755.984375
4736,2048,8,173638505.24658978,163695600.296875
4744,2048,8,173843342.45364404,144206202.625
4752,2048,8,239675179.22724435,154742454.421875
4760,2048,8,173588485.2961192,186200912.46875
4768,2048,8,173770480.2363879,115622022.53125
4776,2048,8,179025973.79199332,9976415.53125
4784,2048,8,172576085.2338084,1032840.671875
4792,2048,8,183697646.19595045,90171451.125
4800,2048,8,282621133.07770234,51591533.03125
4808,2048,8,178451464.5099557,197083986.453125
4816,2048,8,173341741.54551992,28439945.046875
4824,2048,8,184707610.37305158,127129555.234375
4832,2048,8,172510682.73495296,117146807.53125
4840,2048,8,173509846.9004159,150285318.21875
4848,2048,8,172510682.73495296,184790208.71875
4856,2048,8,172510682.73495296,20012823.71875
4864,2048,8,172510682.73495296,42152840.84375
4872,2048,8,172510682.73495296,69244843.53125
4880,2048,8,172510682.73495296,126351301.21875
4888,2048,8,172510682.73495296,169848050.171875
4896,2048,8,172510682.73495296,175980211.0
4904,2048,8,172510682.73495296,172870519.171875
4912,2048,8,172510682.73495296,83607259.953125
